genes	IDTranscript/RepeatID (cmd=analyzeRepeats.pl /home/labs/amit/eyald/bin/data/chicken_galGal5/gg5.ens90.P2000M.gtf none -d MP_16_chicken_1A.M MP_17_chicken_2A.M MP_18_chicken_3A.M -count exons -condenseGenes -strand + -raw)	chr	start	end	strand	Length	Copies	Annotation/Divergence	MP_16_chicken_1A.M (2734712.0 total)	MP_17_chicken_2A.M (2690336.0 total)	MP_18_chicken_3A.M (3577958.0 total)
RMND5A	ENSGALT00000025496	chr4	86216752	86237962	+	2219.0	1	0.000	120.000	104.000	121.000
ENSGALG00000034789	ENSGALT00000062657	chrUn_NT_464657v1	13577	16522	+	2658.0	1	0.000	0.000	0.000	0.000
ARL9	ENSGALT00000045113	chr4	49584046	49587727	+	1472.0	1	0.000	43.000	46.000	43.000
ARL5A	ENSGALT00000081061	chr7_NT_461078v1_random	84395	91343	-	1943.0	1	0.000	0.000	0.000	0.000
PGAM1	ENSGALT00000085230	chr6	22341557	22345520	-	3431.0	1	0.000	798.000	849.000	988.000
ESCO2	ENSGALT00000026768	chr3	105603353	105618236	-	4169.0	1	0.000	6.000	11.000	11.000
ENSGALG00000014643	ENSGALT00000023603	chr25	2258114	2277397	-	7085.0	1	0.000	13.000	10.000	17.000
ENSGALG00000041569	ENSGALT00000049067	chr3	70208285	70209550	-	386.0	1	0.000	0.000	1.000	0.000
ENSGALG00000015404	ENSGALT00000036752	chr2	111538767	111558006	-	2421.0	1	0.000	1.000	0.000	2.000
ENSGALG00000035606	ENSGALT00000072563	chr5	58937387	58938615	-	568.0	1	0.000	8.000	10.000	17.000
TMEM167A	ENSGALT00000084743	chrZ	62969166	62992042	+	2728.0	1	0.000	101.000	71.000	131.000
E2F5	ENSGALT00000060506	chr2	123234493	123247030	+	3195.0	1	0.000	36.000	28.000	29.000
ENSGALG00000033453	ENSGALT00000058149	chr2	139906232	139947148	+	1856.0	1	0.000	21.000	20.000	26.000
ENSGALG00000042217	ENSGALT00000053325	chr21_NT_462978v1_random	114	7045	+	5028.0	1	0.000	0.000	0.000	0.000
NCOA1	ENSGALT00000026819	chr3	105919309	106028672	-	6581.0	1	0.000	268.000	277.000	379.000
ENSGALG00000046354	ENSGALT00000090033	chr8_NT_461392v1_random	3688	7661	+	2713.0	1	0.000	0.000	0.000	0.000
TMEM150C	ENSGALT00000018218	chr4	46703047	46715192	+	1706.0	1	0.000	77.000	29.000	66.000
ENSGALG00000041283	ENSGALT00000077828	chrUn_NT_468782v1	6760	12871	+	3587.0	1	0.000	0.000	0.000	0.000
gga-mir-1845	ENSGALT00000042484	chr7	6578437	6580522	-	2085.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036184	ENSGALT00000065918	chr25	1444448	1445682	+	930.0	1	0.000	16.000	20.000	19.000
ME1	ENSGALT00000084832	chr3	78041405	78198288	+	2036.0	1	0.000	62.000	47.000	77.000
ENSGALG00000039993	ENSGALT00000073312	chrUn_NT_467423v1	-546	3869	-	3607.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034862	ENSGALT00000051528	chr24	6036961	6038353	+	1124.0	1	0.000	0.000	0.000	0.000
ENSGALG00000030521	ENSGALT00000057755	chrUn_NT_473400v1	1579	5613	-	2674.0	1	0.000	0.000	0.000	0.000
AQP10	ENSGALT00000046103	chr25	2151335	2154405	+	960.0	1	0.000	0.000	0.000	0.000
ATP6V1G1	ENSGALT00000011643	chr17	3005469	3010362	+	3000.0	1	0.000	703.000	624.000	837.000
C2CD4C	ENSGALT00000001942	chr28	2655668	2656909	-	1241.0	1	0.000	0.000	0.000	0.000
MRPL24	ENSGALT00000067413	chr25	1438112	1441191	+	2759.0	1	0.000	192.000	239.000	253.000
